prlName,prlLicensingActivityName,prlMainArea,prlStatus,prlStratigraphical,prlDateGranted,prlDateValidTo,prlOriginalArea,prlCurrentArea,prlPhaseCurrent,prlNpdidLicence,prlFactPageUrl,prlFactMapUrl,prlDateUpdated,prlDateUpdatedMax,DatesyncNPD
112,Awarded additionally to round 9,North sea,INACTIVE,NO,26.07.1985,31.12.2000,260.215,0.000,,21700,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21700,,29.04.2016,29.04.2016,20.02.2019
113,10-A,North sea,ACTIVE,NO,23.08.1985,23.08.2021,20.949,20.949,PRODUCTION,21708,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21708,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=21708,15.01.2019,15.01.2019,20.02.2019
114,10-A,North sea,INACTIVE,NO,23.08.1985,31.12.2001,550.790,0.000,,21716,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21716,,29.04.2016,29.04.2016,20.02.2019
114 B,Awarded additionally to round 10-A,North sea,INACTIVE,NO,11.08.1995,11.08.2001,11.059,0.000,,21724,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21724,,01.08.2016,01.08.2016,20.02.2019
114 C,Awarded additionally to round 10-A,North sea,INACTIVE,NO,03.09.1998,31.12.2001,34.964,0.000,,90914,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=90914,,01.08.2016,01.08.2016,20.02.2019
115,10-A,North sea,INACTIVE,NO,23.08.1985,31.12.1999,550.790,0.000,,21732,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21732,,29.04.2016,29.04.2016,20.02.2019
116,10-A,North sea,INACTIVE,NO,23.08.1985,31.12.2000,188.465,0.000,,21740,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21740,,29.04.2016,29.04.2016,20.02.2019
117,10-A,North sea,INACTIVE,NO,23.08.1985,31.12.1999,523.937,0.000,,21748,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21748,,29.04.2016,29.04.2016,20.02.2019
118,10-A,North sea,INACTIVE,NO,23.08.1985,23.08.1991,523.937,0.000,,21756,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21756,,10.03.2018,10.03.2018,20.02.2019
119,10-A,North sea,INACTIVE,NO,23.08.1985,23.08.1991,170.273,0.000,,21764,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21764,,10.03.2018,10.03.2018,20.02.2019
120,10-A,North sea,ACTIVE,NO,23.08.1985,23.08.2034,546.292,215.207,PRODUCTION,21772,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21772,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=21772,21.11.2018,21.11.2018,20.02.2019
120 B,10-A,North sea,ACTIVE,YES OR PARTLY,06.10.2006,23.08.2034,19.931,19.931,PRODUCTION,4380181,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=4380181,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=4380181,17.05.2018,18.05.2018,20.02.2019
120 CS,10-A,North sea,ACTIVE,YES OR PARTLY,19.12.2017,23.08.2034,2.490,2.490,PRODUCTION,30382506,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=30382506,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=30382506,17.05.2018,18.05.2018,20.02.2019
121,10-B,Norwegian sea,ACTIVE,NO,28.02.1986,09.03.2024,444.465,26.619,PRODUCTION,21780,http://factpages.npd.no/FactPages/default.aspx?nav1=licence&nav2=PageView|All&nav3=21780,http://gis.npd.no/factmaps/html_21/?run=LicenceActiveByNPDID&NPDID=21780,01.02.2019,01.02.2019,20.02.2019
